Date,Number of flights, ,,,,,,,,,,
02/06/2019,6747,,,,,,,,,,,
03/06/2019,6819,,,,,,,,,,,
04/06/2019,6654,,,,,,,,,,,
05/06/2019,6765,,,,,,,,,,,
06/06/2019,6896,,,,,,,,,,,
07/06/2019,6915,,,,,,,,,,,
08/06/2019,5978,,,,,,,,,,,
09/06/2019,6283,,,,,,,,,,,
10/06/2019,6762,,,,,,,,,,,
11/06/2019,6653,,,,,,,,,,,
12/06/2019,6608,,,,,,,,,,,
13/06/2019,6953,,,,,,,,,,,
14/06/2019,7015,,,,,,,,,,,
15/06/2019,5998,,,,,,,,,,,
16/06/2019,6445,,,,,,,,,,,
17/06/2019,6934,,,,,,,,,,,
18/06/2019,6684,,,,,,,,,,,
19/06/2019,6745,,,,,,,,,,,
20/06/2019,6995,,,,,,,,,,,
21/06/2019,7038,,,,,,,,,,,
22/06/2019,5990,,,,,,,,,,,
23/06/2019,6433,,,,,,,,,,,
24/06/2019,6833,,,,,,,,,,,
25/06/2019,6711,,,,,,,,,,,
26/06/2019,6766,,,,,,,,,,,
27/06/2019,7039,,,,,,,,,,,
28/06/2019,7010,,,,,,,,,,,
29/06/2019,6014,,,,,,,,,,,
30/06/2019,6464,,,,,,,,,,,
01/07/2019,6932,,,,,,,,,,,
02/07/2019,6749,,,,,,,,,,,
03/07/2019,6794,,,,,,,,,,,
04/07/2019,7034,,,,,,,,,,,
05/07/2019,7080,,,,,,,,,,,
06/07/2019,6118,,,,,,,,,,,
07/07/2019,6454,,,,,,,,,,,
08/07/2019,6889,,,,,,,,,,,
09/07/2019,6707,,,,,,,,,,,
10/07/2019,6704,,,,,,,,,,,
11/07/2019,7010,,,,,,,,,,,
12/07/2019,7002,,,,,,,,,,,
13/07/2019,6199,,,,,,,,,,,
14/07/2019,6555,,,,,,,,,,,
15/07/2019,6958,,,,,,,,,,,
16/07/2019,6667,,,,,,,,,,,
17/07/2019,6795,,,,,,,,,,,
18/07/2019,6972,,,,,,,,,,,
19/07/2019,6950,,,,,,,,,,,
20/07/2019,6091,,,,,,,,,,,
21/07/2019,6432,,,,,,,,,,,
22/07/2019,6836,,,,,,,,,,,
23/07/2019,6651,,,,,,,,,,,
24/07/2019,6667,,,,,,,,,,,
25/07/2019,6519,,,,,,,,,,,
26/07/2019,6807,,,,,,,,,,,
27/07/2019,6074,,,,,,,,,,,
28/07/2019,6338,,,,,,,,,,,
29/07/2019,6799,,,,,,,,,,,
30/07/2019,6639,,,,,,,,,,,
31/07/2019,6726,,,,,,,,,,,
01/08/2019,6871,,,,,,,,,,,
