date,users
21/6/21,3343
22/6/21,3659
23/6/21,3847
24/6/21,3461
25/6/21,3256
26/6/21,2443
27/6/21,2084
28/6/21,3211
29/6/21,3435
30/6/21,3391
1/7/21,3123
2/7/21,2870
3/7/21,2020
4/7/21,1828
5/7/21,2722
6/7/21,2991
7/7/21,2976
8/7/21,2834
9/7/21,2609
10/7/21,1832
11/7/21,1462
12/7/21,2563
13/7/21,2897
14/7/21,3057
15/7/21,2697
16/7/21,2391
17/7/21,1730
18/7/21,1434
19/7/21,2455
20/7/21,2508
21/7/21,2563
22/7/21,2447
23/7/21,2543
24/7/21,1714
25/7/21,1415
26/7/21,2407
27/7/21,2587
28/7/21,2314
29/7/21,2465
30/7/21,2088
31/7/21,1535
1/8/21,1338
2/8/21,2146
3/8/21,2266
4/8/21,2330
5/8/21,2323
6/8/21,2003
7/8/21,1406
8/8/21,1239
9/8/21,1989
10/8/21,2268
11/8/21,2249
12/8/21,2322
13/8/21,2098
14/8/21,1477
15/8/21,1308
16/8/21,1920
17/8/21,2219
18/8/21,2482
19/8/21,2345
20/8/21,2185
21/8/21,1546
22/8/21,1393
23/8/21,2371
24/8/21,2547
25/8/21,2448
26/8/21,2566
27/8/21,2394
28/8/21,1660
29/8/21,1476
30/8/21,2330
31/8/21,2735
1/9/21,2732
2/9/21,2705
3/9/21,2643
4/9/21,1705
5/9/21,1620
6/9/21,2596
7/9/21,2900
8/9/21,3093
9/9/21,3081
10/9/21,2852
11/9/21,1989
12/9/21,1687
13/9/21,2724
14/9/21,2882
15/9/21,2692
16/9/21,2472
17/9/21,2557
18/9/21,1855
19/9/21,1563
20/9/21,2805
21/9/21,3127
22/9/21,3094
23/9/21,3216
24/9/21,2924
25/9/21,1998
26/9/21,1913
27/9/21,3057
28/9/21,3285
29/9/21,3115
30/9/21,3219
1/10/21,2982
2/10/21,2385
3/10/21,2092
4/10/21,3447
5/10/21,3752
6/10/21,3612
7/10/21,3551
8/10/21,3300
9/10/21,2460
10/10/21,2016
11/10/21,3205
12/10/21,3539
13/10/21,3577
14/10/21,3515
15/10/21,3274
16/10/21,2403
17/10/21,2085
18/10/21,3276
19/10/21,3691
20/10/21,3931
21/10/21,3734
22/10/21,3438
23/10/21,2456
24/10/21,2198
25/10/21,3647
26/10/21,3697
27/10/21,3666
28/10/21,3682
29/10/21,3299
30/10/21,2367
31/10/21,1949
1/11/21,2415
2/11/21,3176
3/11/21,3727
4/11/21,4122
5/11/21,3740
6/11/21,2639
7/11/21,2417
8/11/21,4005
9/11/21,4139
10/11/21,4137
11/11/21,4088
12/11/21,3548
13/11/21,2610
14/11/21,2361
15/11/21,3577
16/11/21,4314
17/11/21,4608
18/11/21,4645
19/11/21,4439
20/11/21,3028
21/11/21,2859
22/11/21,4582
23/11/21,4919
24/11/21,4645
25/11/21,4745
26/11/21,4354
27/11/21,3113
28/11/21,3045
29/11/21,4645
30/11/21,4485
1/12/21,4469
2/12/21,4429
3/12/21,3838
4/12/21,2676
