fecha,Usos bicis abono anual día,Usos bicis abono ocasional día,Usos bicis total día
06/05/2022,"12,544",68,"12,612"
07/05/2022,"9,816",150,"9,966"
08/05/2022,"9,653",127,"9,780"
09/05/2022,"12,088",49,"12,137"
10/05/2022,"12,754",27,"12,781"
11/05/2022,"13,915",3,"13,918"
12/05/2022,"13,661",31,"13,692"
13/05/2022,"12,597",22,"12,619"
14/05/2022,"9,053",45,"9,098"
15/05/2022,"9,127",66,"9,193"
16/05/2022,"8,248",61,"8,309"
17/05/2022,"12,660",16,"12,676"
18/05/2022,"13,878",9,"13,887"
19/05/2022,"14,491",11,"14,502"
20/05/2022,"13,462",19,"13,481"
21/05/2022,"9,747",27,"9,774"
22/05/2022,"9,082",61,"9,143"
23/05/2022,"12,386",14,"12,400"
24/05/2022,"12,736",21,"12,757"
25/05/2022,"13,665",11,"13,676"
26/05/2022,"13,857",38,"13,895"
27/05/2022,"13,452",82,"13,534"
28/05/2022,"10,583",129,"10,712"
29/05/2022,"10,512",92,"10,604"
30/05/2022,"11,821",39,"11,860"
31/05/2022,"14,083",41,"14,124"
01/06/2022,"14,382",36,"14,418"
02/06/2022,"14,557",17,"14,574"
03/06/2022,"14,176",91,"14,267"
04/06/2022,"10,409",91,"10,500"
05/06/2022,"9,369",63,"9,432"
06/06/2022,"13,315",42,"13,357"
07/06/2022,"14,484",32,"14,516"
08/06/2022,"14,839",44,"14,883"
09/06/2022,"15,172",43,"15,215"
10/06/2022,"14,015",35,"14,050"
11/06/2022,"10,114",48,"10,162"
12/06/2022,"9,224",55,"9,279"
13/06/2022,"12,788",35,"12,823"
14/06/2022,"14,087",16,"14,103"
15/06/2022,"14,405",18,"14,423"
16/06/2022,"13,678",7,"13,685"
17/06/2022,"12,918",5,"12,923"
18/06/2022,"10,022",49,"10,071"
19/06/2022,"9,065",46,"9,111"
20/06/2022,"12,473",29,"12,502"
21/06/2022,"14,253",37,"14,290"
22/06/2022,"14,525",62,"14,587"
23/06/2022,"13,920",24,"13,944"
24/06/2022,"13,471",21,"13,492"
25/06/2022,"9,691",67,"9,758"
26/06/2022,"8,991",90,"9,081"
27/06/2022,"12,582",46,"12,628"
28/06/2022,"13,316",55,"13,371"
29/06/2022,"13,440",51,"13,491"
30/06/2022,"13,421",47,"13,468"
01/07/2022,"12,908",24,"12,932"
02/07/2022,"9,861",57,"9,918"
03/07/2022,"8,925",42,"8,967"
04/07/2022,"12,800",69,"12,869"
05/07/2022,"13,851",32,"13,883"
06/07/2022,"13,435",28,"13,463"
07/07/2022,"13,525",19,"13,544"
08/07/2022,"12,519",44,"12,563"
09/07/2022,"8,592",40,"8,632"
10/07/2022,"7,916",24,"7,940"
11/07/2022,"11,839",30,"11,869"
12/07/2022,"12,047",40,"12,087"
13/07/2022,"13,244",25,"13,269"
14/07/2022,"12,572",18,"12,590"
15/07/2022,"10,985",28,"11,013"
16/07/2022,"7,632",45,"7,677"
17/07/2022,"7,087",30,"7,117"
18/07/2022,"10,850",19,"10,869"
19/07/2022,"12,384",6,"12,390"
20/07/2022,"12,791",11,"12,802"
21/07/2022,"12,361",13,"12,374"
22/07/2022,"10,518",7,"10,525"
23/07/2022,"6,959",24,"6,983"
24/07/2022,"5,946",6,"5,952"
25/07/2022,"6,137",23,"6,160"
26/07/2022,"10,881",12,"10,893"
27/07/2022,"11,534",13,"11,547"
28/07/2022,"11,703",19,"11,722"
29/07/2022,"10,135",13,"10,148"
30/07/2022,"7,001",19,"7,020"
31/07/2022,"6,977",12,"6,989"
01/08/2022,"8,977",16,"8,993"
02/08/2022,"9,005",28,"9,033"
03/08/2022,"8,977",3,"8,980"
04/08/2022,"8,908",10,"8,918"
05/08/2022,"8,253",29,"8,282"
06/08/2022,"6,358",29,"6,387"
07/08/2022,"5,941",51,"5,992"
08/08/2022,"8,145",29,"8,174"
09/08/2022,"8,757",25,"8,782"
10/08/2022,"9,008",29,"9,037"
11/08/2022,"8,790",16,"8,806"
12/08/2022,"7,456",14,"7,470"
13/08/2022,"5,075",16,"5,091"
14/08/2022,"4,880",49,"4,929"
15/08/2022,"4,850",36,"4,886"
16/08/2022,"7,236",12,"7,248"
17/08/2022,"7,349",11,"7,360"
18/08/2022,"9,308",18,"9,326"
19/08/2022,"7,298",7,"7,305"
20/08/2022,"5,883",8,"5,891"
21/08/2022,"5,736",17,"5,753"
22/08/2022,"8,362",18,"8,380"
23/08/2022,"9,267",13,"9,280"
24/08/2022,"10,168",46,"10,214"
25/08/2022,"9,930",32,"9,962"
26/08/2022,"9,017",50,"9,067"
27/08/2022,"9,424",64,"9,488"
28/08/2022,"7,415",41,"7,456"
29/08/2022,"10,169",14,"10,183"
30/08/2022,"11,962",8,"11,970"
31/08/2022,"12,788",18,"12,806"
01/09/2022,"12,367",9,"12,376"
02/09/2022,"11,978",22,"12,000"
03/09/2022,"10,231",37,"10,268"
04/09/2022,"8,781",31,"8,812"
05/09/2022,"12,841",30,"12,871"
06/09/2022,"13,643",16,"13,659"
07/09/2022,"13,347",14,"13,361"
08/09/2022,"14,323",19,"14,342"
09/09/2022,"13,894",26,"13,920"
10/09/2022,"10,593",49,"10,642"
11/09/2022,"10,103",56,"10,159"
12/09/2022,"11,310",18,"11,328"
13/09/2022,"10,221",44,"10,265"
14/09/2022,"14,051",40,"14,091"
15/09/2022,"12,309",30,"12,339"
16/09/2022,"13,947",41,"13,988"
17/09/2022,"10,750",52,"10,802"
18/09/2022,"10,402",47,"10,449"
19/09/2022,"13,363",44,"13,407"
20/09/2022,"14,206",33,"14,239"
21/09/2022,"15,149",49,"15,198"
22/09/2022,"15,625",44,"15,669"
23/09/2022,"13,388",28,"13,416"
24/09/2022,"11,016",50,"11,066"
25/09/2022,"8,512",22,"8,534"
26/09/2022,"12,328",12,"12,340"
27/09/2022,"13,870",18,"13,888"
28/09/2022,"14,225",14,"14,239"
29/09/2022,"11,548",26,"11,574"
30/09/2022,"12,923",34,"12,957"
